TransactionID,Date,CustomerID,CustomerName,Branch,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod
TXN101590,2025-05-19,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Bakery,Chocolate Cake Slice,2,171.29,342.58,Khalti
TXN103282,2025-03-07,CUST1005,Milan Lama,Butwal - Traffic Chowk,Personal Care,Dove Soap,3,149.59,448.77,eSewa
TXN103539,2025-10-05,CUST1130,Alina Rai,Bhaktapur - Suryabinayak,Apparel,Winter Jacket,4,2794.25,11177.0,Khalti
TXN102479,2025-11-12,CUST1057,Neha Karki,Kathmandu - New Road,Household,Surf Excel 1kg,4,399.62,1598.48,Cash
TXN104408,2025-10-09,CUST1005,Milan Lama,Butwal - Traffic Chowk,Beverages,Gorkha Beer (6-pack),2,281.01,562.02,eSewa
TXN103523,2025-01-16,CUST1041,Sushma Bhattarai,Bhaktapur - Suryabinayak,Dairy,DDC Milk 1L,3,223.65,670.95,Cash
TXN100212,2025-10-21,CUST1065,Rohit Poudel,Butwal - Traffic Chowk,Grocery,Sugar 1kg,3,437.17,1311.51,Cash
TXN104948,2025-11-01,CUST1098,Bijay Khadka,Bhaktapur - Suryabinayak,,USB Cable Type-C,4,1630.72,6522.88,Cash
TXN101028,2025-05-04,CUST1127,Sunita Adhikari,Kathmandu - New Road,Grocery,Wai Wai Noodles (pack),2,383.62,767.24,Debit/Credit Card
TXN100962,2025-07-13,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Beverages,Gorkha Beer (6-pack),1,448.71,448.71,eSewa
TXN102518,2025-04-02,CUST1093,Aashish Magar,Bhaktapur - Suryabinayak,Grocery,Sugar 1kg,4,130.41,521.64,Cash
TXN105417,2025-10-12,CUST1102,Sandip Tamang,Butwal - Traffic Chowk,Household,Steel Lunch Box,1,1177.7,1177.7,Debit/Credit Card
TXN104760,2025-09-20,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Electronics,Extension Board,3,3200.73,9602.19,Cash
TXN105458,2025-10-01,CUST1096,Sabnam Magar,Pokhara - Lakeside,Personal Care,Sanitary Pads Pack,1,290.43,290.43,eSewa
TXN103178,2025-01-01,CUST1015,Sushma Bhattarai,Kathmandu - Kupondole,Personal Care,Head & Shoulders Shampoo,3,402.43,1207.29,Khalti
TXN105632,2025-04-26,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Personal Care,Dove Soap,2,138.3,276.6,Debit/Credit Card
